,Numero,gols_feitos,gols_sofridos,gols_companheiros,saldo_gols,vitorias,empates,derrotas,rodadas,gols_feitos_total,gols_sofridos_total,gols_companheiros_total,saldo_gols_total,Numero,Ãšltimo item com tentativa completa,Total score,Total tentativas correctas,Memory span,Numero,Total corretos,Total erros,Acuracia Media,Erros media,Acuracia Go,Acuracia nogo,Tempo resposta Go,Tempo resposta nogo,Numero,Media de acertos,Capacidade de rastreamento,Numero,Melhor tempo total A,Melhor tempo total B,Flexibilidade cognitiva (B-A),Acuracia media A,Acuracia media B,Media tempo total A,Media tempo total B,Flexibilidade cognitiva media (B-A)
0,3.0,0.9642857142857144,3.321428571428572,2.142857142857143,-0.2142857142857142,10,5,13,28,27,93,60,-6,3,6,54,9,5.5,3,294,26,0.91875,0.08125,0.988275,0.640625,467.9255,424.0835,3,3.56,3.12,3,20768,24585,3817,0.9925926,0.9238406,22383.8,38457.8,16074.000000000004
1,4.0,1.6071428571428572,3.2142857142857144,1.9285714285714288,0.3214285714285714,13,5,10,28,45,90,54,9,4,8,96,12,7.0,4,287,33,0.896875,0.103125,0.98437,0.546875,349.336,310.81,4,3.6,3.2,4,12856,14631,1775,0.8066603999999999,0.9175662,15568.4,15458.8,-109.60000000000036
2,5.0,0.6428571428571429,3.5,1.4642857142857142,-1.3928571428571428,6,2,20,28,18,98,41,-39,5,8,88,11,6.5,5,297,23,0.928125,0.071875,1.0,0.640625,422.4065,378.331,5,3.72,3.44,5,16536,19048,2512,0.8801684,0.7678618,20561.6,23915.2,3353.600000000002
3,6.0,1.75,2.9642857142857144,1.4642857142857142,0.25,11,7,10,28,49,83,41,7,6,5,40,8,5.0,6,281,39,0.878125,0.121875,1.0,0.390625,396.617,370.8115,6,3.36,2.71999999999999,6,13232,16999,3767,0.8977912,0.9009072,14716.4,20490.8,5774.4
4,7.0,0.6071428571428571,3.2857142857142856,2.5,-0.1785714285714285,8,6,14,28,17,92,70,-5,7,5,40,8,5.0,7,267,53,0.834375,0.165625,0.984375,0.234375,382.817,345.291,7,2.76,1.51999999999999,7,21088,24848,3760,0.8262398000000001,0.8004616,25044.8,31424.0,6379.200000000001
5,8.0,0.9285714285714286,2.857142857142857,2.071428571428572,0.1428571428571428,14,0,14,28,26,80,58,4,8,5,35,7,4.5,8,300,20,0.9375,0.0625,0.99609,0.703125,446.6835,412.128,8,3.64,3.28,8,16465,18232,1767,0.9851852,0.9497352,18429.2,24158.6,5729.399999999998
6,9.0,0.9642857142857144,2.4285714285714284,2.392857142857143,0.9285714285714286,16,5,7,28,27,68,67,26,9,5,40,8,5.0,9,230,90,0.71875,0.28125,0.8554649999999999,0.171875,299.83500000000004,282.58000000000004,9,3.48,2.96,9,18297,31159,12862,0.9714284,0.9550926,21689.6,47796.6,26107.0
7,10.0,1.1071428571428572,3.321428571428572,1.8928571428571428,-0.3214285714285714,9,7,12,28,31,93,53,-9,10,8,80,10,6.0,10,280,40,0.875,0.125,1.0,0.375,372.9845,360.1845,10,3.48,2.96,10,14632,13888,-744,0.8361528,0.9230686,16361.6,17971.2,1609.6000000000004
8,11.0,1.1428571428571428,2.321428571428572,2.392857142857143,1.2142857142857142,16,6,6,28,32,65,67,34,11,5,40,8,5.0,11,293,27,0.915625,0.084375,0.980465,0.65625,424.7265,359.243,11,3.5,3.0,11,16896,15920,-976,0.7539064,0.7286554,18737.2,20427.4,1690.2000000000007
9,12.0,0.5,2.7857142857142856,2.321428571428572,0.0357142857142857,14,3,11,28,14,78,65,1,12,8,88,11,6.5,12,293,27,0.915625,0.084375,0.98437,0.640625,428.33,364.3575,12,3.04,2.08,12,22048,25504,3456,0.9249736,0.8862606,28443.0,38624.0,10181.0
10,13.0,0.7142857142857143,3.107142857142857,2.5357142857142856,0.1428571428571428,14,3,11,28,20,87,71,4,13,6,54,9,5.5,13,283,37,0.884375,0.115625,1.0,0.421875,405.7265,363.544,13,3.46,2.92,13,15209,18032,2823,0.7745295999999999,0.7986007999999999,18445.2,23128.0,4682.799999999999
11,14.0,0.9642857142857144,3.392857142857143,1.8214285714285716,-0.6071428571428571,11,4,13,28,27,95,51,-17,14,5,30,6,4.0,14,269,51,0.840625,0.159375,0.94531,0.421875,413.436,358.434,14,2.82,1.63999999999999,14,27017,26312,-705,0.8818822000000001,0.8949301999999999,29753.8,38835.2,9081.399999999998
12,15.0,1.0357142857142858,2.4642857142857144,2.107142857142857,0.6785714285714286,14,4,10,28,29,69,59,19,15,5,40,8,5.0,15,302,18,0.94375,0.05625,0.99609,0.734375,382.467,349.3195,15,3.86,3.71999999999999,15,16511,18960,2449,0.8974055999999999,0.8357436,19582.0,22579.2,2997.2000000000007
13,16.0,1.9285714285714288,1.9642857142857144,1.3571428571428572,1.3214285714285714,18,7,3,28,54,55,38,37,16,8,80,10,6.0,16,270,50,0.84375,0.15625,0.972655,0.328125,388.871,337.9425,16,3.64,3.28,16,16952,22888,5936,0.8928042000000002,0.925992,26059.0,28141.0,2082.0
14,17.0,1.6428571428571428,2.821428571428572,1.5,0.3214285714285714,14,3,11,28,46,79,42,9,17,5,25,5,3.5,17,304,16,0.95,0.05,1.0,0.75,402.4025,343.0,17,3.26,2.51999999999999,17,17960,21881,3921,0.9125038,0.8008776000000001,21496.0,30701.2,9205.2
15,18.0,1.5,3.25,1.8928571428571428,0.1428571428571428,14,2,12,28,42,91,53,4,18,8,96,12,7.0,18,286,34,0.89375,0.10625,0.984375,0.53125,442.7555,401.8525,18,3.58,3.16,18,16496,16936,440,0.8969788,0.8249059999999998,17836.8,23096.0,5259.200000000001
16,20.0,0.8571428571428571,3.0,1.7857142857142858,-0.3571428571428571,10,4,14,28,24,84,50,-10,20,6,48,8,5.0,20,287,33,0.896875,0.103125,0.99609,0.5,377.5815,326.89,20,3.42,2.84,20,16192,21048,4856,0.8964283999999999,0.8193786,19134.2,26588.4,7454.200000000001
17,22.0,0.7142857142857143,3.2142857142857144,2.357142857142857,-0.1428571428571428,12,5,11,28,20,90,66,-4,22,5,35,7,4.5,22,283,37,0.884375,0.115625,0.99609,0.4375,390.99,318.1945,22,3.38,2.76,22,22662,31360,8698,0.9442328,0.8379861999999999,24881.2,36982.2,12100.999999999996
18,23.0,1.3571428571428572,2.7857142857142856,2.0357142857142856,0.6071428571428571,12,9,7,28,38,78,57,17,23,6,54,9,5.5,23,290,30,0.90625,0.09375,0.992185,0.5625,452.5305,342.1835,23,2.5,1.0,23,25463,22192,-3271,0.8537437999999999,0.8283712000000001,28151.6,32081.4,3929.800000000003
19,24.0,1.0,3.4642857142857144,1.5714285714285714,-0.8928571428571429,8,3,17,28,28,97,44,-25,24,8,80,10,6.0,24,286,34,0.89375,0.10625,0.988275,0.515625,385.172,322.046,24,3.56,3.12,24,16416,18367,1951,0.7914424,0.8069973999999999,30287.8,32612.0,2324.2000000000007
20,25.0,0.2727272727272727,2.9545454545454546,1.7727272727272727,-0.9090909090909092,5,2,15,22,6,65,39,-20,25,6,54,9,5.5,25,295,25,0.921875,0.078125,1.0,0.609375,418.7345,364.1375000000001,25,3.64,3.28,25,14057,20943,6886,0.935924,0.8865722,15634.0,25340.6,9706.6
21,27.0,0.7272727272727273,3.227272727272727,2.3181818181818183,-0.1818181818181818,8,6,8,22,16,71,51,-4,27,5,40,8,5.0,27,264,56,0.825,0.175,0.93359,0.390625,425.413,372.7775,27,2.86,1.71999999999999,27,19465,26744,7279,0.9586208,0.9502098,23947.4,28907.2,4959.799999999999
0,1.0,1.0714285714285714,2.9285714285714284,1.8214285714285716,-0.0357142857142857,10,5,13,28,30,82,51,-1,1,4,20,5,3.5,1,271,49,0.846875,0.153125,0.96484,0.375,388.0555,369.162,1,2.8,1.59999999999999,1,21784,27416,5632,0.8385206000000001,0.8615497999999999,41449.4,44835.2,3385.799999999996
1,2.0,1.3214285714285714,2.7857142857142856,2.142857142857143,0.6785714285714286,16,4,8,28,37,78,60,19,2,6,54,9,5.5,2,297,23,0.928125,0.071875,0.98828,0.6875,465.04,378.762,2,2.68,1.36,2,18056,20776,2720,0.8769579999999999,0.8828024000000001,18638.2,24750.2,6112.0
2,3.0,0.75,2.857142857142857,1.6428571428571428,-0.4642857142857143,7,7,14,28,21,80,46,-13,3,8,80,10,6.0,3,291,29,0.909375,0.090625,0.98828,0.59375,417.601,362.438,3,3.1,2.2,3,11928,16352,4424,0.896552,0.9082826,15240.0,21494.4,6254.4000000000015
3,5.0,0.75,3.0,2.0,-0.25,10,6,12,28,21,84,56,-7,5,1,0,0,1.0,5,302,18,0.94375,0.05625,0.99609,0.734375,436.8005,381.4305,5,3.48,2.96,5,14768,20448,5680,0.860858,0.7487548,18258.8,30187.8,11929.0
4,6.0,0.3571428571428571,2.9642857142857144,2.071428571428572,-0.5357142857142857,6,9,13,28,10,83,58,-15,6,5,35,7,4.5,6,312,8,0.975,0.025,0.99218,0.90625,634.0435,429.0,6,3.68,3.36,6,18295,30992,12697,0.9442328,0.8582089999999999,19374.2,36609.6,17235.399999999998
5,7.0,0.6666666666666666,2.0,2.4814814814814814,1.148148148148148,16,7,4,27,18,54,67,31,7,8,72,9,5.5,7,299,21,0.934375,0.065625,0.99218,0.703125,480.3305,385.405,7,3.1,2.2,7,18504,28288,9784,0.9783068,0.8910018000000001,20133.2,39656.0,19522.8
6,8.0,0.8214285714285714,2.392857142857143,1.8571428571428568,0.2857142857142857,12,6,10,28,23,67,52,8,8,8,80,10,6.0,8,279,41,0.871875,0.128125,0.949215,0.5625,467.466,422.875,8,3.74,3.48,8,16625,18304,1679,0.8983066,0.9161966,19035.4,22865.4,3830.0
7,9.0,1.125,3.0416666666666665,1.2916666666666667,-0.625,8,5,11,24,27,73,31,-15,9,6,60,10,6.0,9,302,18,0.94375,0.05625,0.99609,0.734375,548.5060000000001,394.1645,9,2.96,1.92,9,15888,24624,8736,0.9304760000000002,0.8681342000000001,17646.4,26492.4,8846.0
8,10.0,0.5,3.25,1.9642857142857144,-0.7857142857142857,9,1,18,28,14,91,55,-22,10,5,35,7,4.5,10,278,42,0.86875,0.13125,0.9414,0.578125,366.885,299.85900000000004,10,3.26,2.51999999999999,10,16193,15104,-1089,0.7698949999999999,0.8256608,22758.8,19466.0,-3292.7999999999997
9,11.0,0.8571428571428571,3.2857142857142856,1.5714285714285714,-0.8571428571428571,6,4,18,28,24,92,44,-24,11,6,54,9,5.5,11,310,10,0.96875,0.03125,1.0,0.84375,534.082,412.5,11,2.6,1.2,11,16247,19208,2961,0.9309506,0.9714284,17881.2,22883.2,5002.0
10,12.0,0.8571428571428571,1.7142857142857142,1.4642857142857142,0.6071428571428571,14,9,5,28,24,48,41,17,12,6,48,8,5.0,12,308,12,0.9625,0.0375,0.98828,0.859375,533.4645,497.0,12,3.44,2.88,12,21248,26648,5400,0.8850244,0.9058314,23779.2,31772.8,7993.5999999999985
11,13.0,1.1071428571428572,2.6785714285714284,1.7857142857142858,0.2142857142857142,13,6,9,28,31,75,50,6,13,8,72,9,5.5,13,307,13,0.959375,0.040625,0.99609,0.8125,468.607,377.25,13,3.28,2.55999999999999,13,15096,19752,4656,0.9220714,0.963492,17422.2,24030.4,6608.200000000001
12,14.0,0.8928571428571429,2.071428571428572,2.1785714285714284,1.0,18,4,6,28,25,58,61,28,14,6,54,9,5.5,14,287,33,0.896875,0.103125,0.95703,0.65625,500.493,496.021,14,3.04,2.08,14,23872,24008,136,0.839711,0.8517896,26687.2,28752.6,2065.399999999998
13,15.0,0.7857142857142857,3.0357142857142856,2.142857142857143,-0.1071428571428571,7,9,12,28,22,85,60,-3,15,8,96,12,7.0,15,208,112,0.65,0.35,0.656245,0.625,412.4565,370.594,15,3.56,3.12,15,14120,20025,5905,0.9502098,0.9428024,16217.8,24811.2,8593.400000000001
14,16.0,0.7857142857142857,3.2857142857142856,2.0357142857142856,-0.4642857142857143,8,6,14,28,22,92,57,-13,16,8,80,10,6.0,16,286,34,0.89375,0.10625,0.99218,0.5,405.8385,357.921,16,3.74,3.48,16,21248,25528,4280,0.8668011999999999,0.8987322000000001,41711.6,33777.8,-7933.799999999996
15,18.0,1.0357142857142858,3.25,1.6428571428571428,-0.5714285714285714,8,7,13,28,29,91,46,-16,18,5,40,8,5.0,18,297,23,0.928125,0.071875,0.957025,0.8125,482.353,374.8335,18,3.0,2.0,18,25312,33760,8448,0.9132388,0.9511112,36705.8,49993.6,13287.799999999996
16,19.0,1.0357142857142858,2.7142857142857144,1.6071428571428572,-0.0714285714285714,13,4,11,28,29,76,45,-2,19,6,54,9,5.5,19,278,42,0.86875,0.13125,0.972655,0.453125,438.478,385.6085000000001,19,3.36,2.71999999999999,19,18625,21904,3279,0.8618105999999999,0.8479576,20968.0,28249.2,7281.200000000001
17,20.0,1.3636363636363635,3.3181818181818183,1.681818181818182,-0.2727272727272727,8,2,12,22,30,73,37,-6,20,6,36,6,4.0,20,286,34,0.89375,0.10625,0.988275,0.515625,492.2965,388.069,20,2.82,1.63999999999999,20,16871,22615,5744,0.9857142,0.8900848,20228.6,41886.6,21658.0
18,21.0,1.1428571428571428,2.7857142857142856,1.8928571428571428,0.25,13,9,6,28,32,78,53,7,21,6,54,9,5.5,21,308,12,0.9625,0.0375,1.0,0.8125,441.676,337.3285,21,3.64,3.28,21,13583,15112,1529,0.963492,0.9369276,15177.2,18289.8,3112.5999999999985
19,22.0,1.5357142857142858,2.571428571428572,1.1071428571428572,0.0714285714285714,10,8,10,28,43,72,31,2,22,5,40,8,5.0,22,296,24,0.925,0.075,1.0,0.625,405.3045,349.748,22,3.1,2.2,22,20488,27328,6840,0.9033826,0.6892958,27710.4,40601.6,12891.199999999995
20,23.0,1.1071428571428572,3.1785714285714284,2.107142857142857,0.0357142857142857,10,9,9,28,31,89,59,1,23,8,88,11,6.5,23,299,21,0.934375,0.065625,1.0,0.671875,430.4295,377.0,23,3.64,3.28,23,18671,19431,760,0.9783068,0.9925926,21057.2,27271.6,6214.399999999998
21,24.0,0.7857142857142857,2.5,2.0,0.2857142857142857,14,4,10,28,22,70,56,8,24,6,48,8,5.0,24,234,86,0.73125,0.26875,0.72656,0.75,511.3165,403.1825,24,2.64,1.28,24,17752,20928,3176,0.9576172,0.9110734,20119.8,29043.4,8923.600000000002
